Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Corgémont;2606;00;1485;Sonceboz-Sombeval;444;BE;0.71%;2579324;1225251;fr;01.07.2008
Cortébert;2607;00;1486;Cortébert;433;BE;100%;2574862;1226629;fr;01.07.2008
Courtelary;2608;00;1487;Courtelary;434;BE;100%;2572129;1225377;fr;01.07.2008
Montagne-de-Courtelary;2608;02;1488;Courtelary;434;BE;40%;2572922;1223970;fr;01.07.2008
Montagne-de-Courtelary;2608;02;1488;Cortébert;433;BE;40%;2575578;1224164;fr;01.07.2008
Montagne-de-Courtelary;2608;02;1488;Cormoret;432;BE;10.63%;2571430;1221809;fr;01.07.2008
Montagne-de-Courtelary;2608;02;1488;Corgémont;431;BE;9.38%;2577302;1224534;fr;01.07.2008
St-Imier;2610;00;1489;Saint-Imier;443;BE;100%;2566615;1222486;fr;01.07.2008
Mont-Soleil;2610;02;1490;Saint-Imier;443;BE;63.14%;2565934;1223235;fr;01.07.2008
Mont-Soleil;2610;02;1490;Sonvilier;445;BE;36.22%;2562999;1222215;fr;01.07.2008
Mont-Soleil;2610;02;1490;La Ferrière;435;BE;0.64%;2561497;1220837;fr;01.07.2008
Les Pontins;2610;03;7903;Saint-Imier;443;BE;98.82%;2567114;1219916;fr;01.07.2008
Les Pontins;2610;03;7903;Villeret;448;BE;1.18%;2568764;1220528;fr;01.07.2008
Mont-Crosin;2610;04;1491;Courtelary;434;BE;47.27%;2570984;1227278;fr;01.07.2008
Mont-Crosin;2610;04;1491;Villeret;448;BE;26.67%;2567552;1225038;fr;01.07.2008
Mont-Crosin;2610;04;1491;Cormoret;432;BE;26.06%;2569141;1225938;fr;01.07.2008
Cormoret;2612;00;1493;Cormoret;432;BE;100%;2570731;1224728;fr;01.07.2008
Villeret;2613;00;1494;Villeret;448;BE;99.66%;2568018;1223108;fr;01.07.2008
Villeret;2613;00;1494;Cormoret;432;BE;0.34%;2570172;1222600;fr;01.07.2008
Sonvilier;2615;00;1495;Sonvilier;445;BE;100%;2564071;1220976;fr;01.07.2008
Montagne-de-Sonvilier;2615;02;1496;Sonvilier;445;BE;100%;2563544;1219210;fr;01.07.2008
Renan BE;2616;00;1497;Renan (BE);441;BE;94.48%;2560877;1219205;fr;01.07.2008
Renan BE;2616;00;1497;La Chaux-de-Fonds;6421;NE;3.74%;2556674;1216312;fr;01.07.2008
Renan BE;2616;00;1497;Val-de-Ruz;6487;NE;1.78%;2556869;1215006;fr;01.07.2008
La Cibourg;2616;02;7960;Renan (BE);441;BE;100%;2558539;1218800;fr;01.07.2008
Tavannes;2710;00;1498;Tavannes;713;BE;99.56%;2581830;1230092;fr;01.07.2008
Tavannes;2710;00;1498;Reconvilier;703;BE;0.44%;2580854;1231763;fr;01.07.2008
Le Fuet;2712;00;1502;Saicourt;706;BE;85.97%;2580574;1232613;fr;01.07.2008
Le Fuet;2712;00;1502;Petit-Val;716;BE;14.03%;2581038;1234516;fr;01.07.2008
Bellelay;2713;00;1508;Saicourt;706;BE;100%;2579295;1234692;fr;01.07.2008
Les Genevez JU;2714;00;1509;Les Genevez (JU);6748;JU;100%;2576722;1234019;fr;01.07.2008
Le Prédame;2714;02;1503;Les Genevez (JU);6748;JU;100%;2574576;1233732;fr;01.07.2008
Châtelat;2715;01;6193;Petit-Val;716;BE;100%;2581492;1235719;fr;01.07.2008
Monible;2715;02;5755;Petit-Val;716;BE;100%;2582000;1236323;fr;01.07.2008
Sornetan;2716;00;1507;Petit-Val;716;BE;100%;2583276;1235956;fr;01.07.2008
Fornet-Dessous;2717;00;1504;Petit-Val;716;BE;100%;2579947;1236592;fr;01.07.2008
Rebévelier;2717;02;5758;Rebévelier;715;BE;100%;2580359;1237638;fr;01.07.2008
Lajoux JU;2718;00;1510;Lajoux (JU);6750;JU;98.78%;2577320;1236439;fr;01.07.2008
Lajoux JU;2718;00;1510;Montfaucon;6751;JU;1.22%;2574270;1235438;fr;01.07.2008
Fornet-Dessus;2718;02;1505;Lajoux (JU);6750;JU;90.14%;2578825;1236510;fr;01.07.2008
Fornet-Dessus;2718;02;1505;Saulcy;6722;JU;9.86%;2578303;1237609;fr;01.07.2008
Tramelan;2720;00;1511;Tramelan;446;BE;99.03%;2574586;1230331;fr;01.07.2008
Tramelan;2720;00;1511;Mont-Tramelan;437;BE;0.48%;2578153.712;1231817.237;fr;01.07.2008
Tramelan;2720;00;1511;Saicourt;706;BE;0.48%;2578284;1232514;fr;01.07.2008
La Tanne;2720;02;1512;Corgémont;431;BE;40.93%;2576765;1228943;fr;01.07.2008
La Tanne;2720;02;1512;Tramelan;446;BE;22.39%;2575852;1229604;fr;01.07.2008
La Tanne;2720;02;1512;Sonceboz-Sombeval;444;BE;19.69%;2579884;1228704;fr;01.07.2008
La Tanne;2720;02;1512;Tavannes;713;BE;16.99%;2578551;1230205;fr;01.07.2008
Les Reussilles;2722;00;1513;Tramelan;446;BE;100%;2572834;1230606;fr;01.07.2008
Mont-Tramelan;2723;00;1514;Mont-Tramelan;437;BE;76.47%;2571155;1228600;fr;01.07.2008
Mont-Tramelan;2723;00;1514;Tramelan;446;BE;12.61%;2572387;1229002;fr;01.07.2008
Mont-Tramelan;2723;00;1514;Cortébert;433;BE;6.72%;2573896;1227927;fr;01.07.2008
Mont-Tramelan;2723;00;1514;Courtelary;434;BE;4.20%;2569540;1228446;fr;01.07.2008
Reconvilier;2732;00;1523;Reconvilier;703;BE;97.94%;2583743;1231586;fr;01.07.2008
Reconvilier;2732;00;1523;Péry-La Heutte;450;BE;2.06%;2583905;1228453;fr;01.07.2008
Saicourt;2732;02;1524;Saicourt;706;BE;100%;2582381;1232542;fr;01.07.2008
Saules BE;2732;03;1525;Saules (BE);707;BE;100%;2583382;1232998;fr;01.07.2008
Loveresse;2732;04;1526;Loveresse;696;BE;100%;2584724;1232210;fr;01.07.2008
Pontenet;2733;00;1527;Valbirse;717;BE;99.54%;2586100;1232268;fr;01.07.2008
Pontenet;2733;00;1527;Loveresse;696;BE;0.46%;2585565;1231897;fr;01.07.2008
Bévilard;2735;02;1530;Valbirse;717;BE;100%;2588329;1232008;fr;01.07.2008
Champoz;2735;03;5754;Champoz;683;BE;91.18%;2589437;1234148;fr;01.07.2008
Champoz;2735;03;5754;Court;690;BE;8.82%;2590488;1233413;fr;01.07.2008
Malleray;2735;04;6050;Valbirse;717;BE;99.90%;2587285;1232047;fr;01.07.2008
Malleray;2735;04;6050;Péry-La Heutte;450;BE;0.10%;2585194;1228852;fr;01.07.2008
Sorvilier;2736;00;1531;Sorvilier;711;BE;100%;2589922;1232018;fr;01.07.2008
Court;2738;00;1532;Court;690;BE;100%;2592390;1232242;fr;01.07.2008
Moutier;2740;00;1533;Moutier;6831;JU;99.67%;2594743;1236276;fr;01.07.2008
Moutier;2740;00;1533;Roches (BE);704;BE;0.33%;2592910;1238295;fr;01.07.2008
Perrefitte;2742;00;1537;Perrefitte;701;BE;100%;2592693;1236077;fr;01.07.2008
Eschert;2743;00;1539;Eschert;692;BE;100%;2596908;1236156;fr;01.07.2008
Belprahon;2744;00;1540;Belprahon;681;BE;100%;2597489;1236894;fr;01.07.2008
Grandval;2745;00;1542;Grandval;694;BE;100%;2598920;1236883;fr;01.07.2008
Crémines;2746;00;1543;Crémines;691;BE;100%;2600118;1236992;fr;01.07.2008
Corcelles BE;2747;00;1544;Corcelles (BE);687;BE;100%;2601357;1237253;fr;01.07.2008
Seehof;2747;02;1541;Seehof;709;BE;92.79%;2606525;1239477;de;01.07.2008
Seehof;2747;02;1541;Aedermannsdorf;2421;SO;7.21%;2608940;1240413;de;01.07.2008
Souboz;2748;00;1538;Petit-Val;716;BE;100%;2585154;1235908;fr;01.07.2008
Les Ecorcheresses;2748;02;8005;Petit-Val;716;BE;65.56%;2587532;1236580;fr;01.07.2008
Les Ecorcheresses;2748;02;8005;Haute-Sorne;6729;JU;34.44%;2585413;1237694;fr;01.07.2008
Roches BE;2762;00;1545;Roches (BE);704;BE;100%;2595514;1239064;fr;01.07.2008
Delémont;2800;00;1551;Delémont;6711;JU;99.01%;2593118;1246162;fr;01.07.2008
Delémont;2800;00;1551;Courrendlin;6708;JU;0.88%;2594169;1244675;fr;01.07.2008
Delémont;2800;00;1551;Develier;6712;JU;0.11%;2590475;1245254;fr;01.07.2008
Develier;2802;00;1555;Develier;6712;JU;100%;2589169;1245302;fr;01.07.2008
Bourrignon;2803;00;1556;Bourrignon;6703;JU;99.28%;2585502;1249479;fr;01.07.2008
Bourrignon;2803;00;1556;Pleigne;6719;JU;0.72%;2588185;1249641;fr;01.07.2008
Soyhières;2805;00;1557;Soyhières;6724;JU;88.47%;2595005;1249117;fr;01.07.2008
Soyhières;2805;00;1557;Courroux;6709;JU;11.53%;2595616;1248616;fr;01.07.2008
Mettembert;2806;00;1558;Mettembert;6716;JU;89.51%;2591197;1249692;fr;01.07.2008
Mettembert;2806;00;1558;Delémont;6711;JU;6.29%;2589764;1249029;fr;01.07.2008
Mettembert;2806;00;1558;Pleigne;6719;JU;4.20%;2589291;1249153;fr;01.07.2008
Pleigne;2807;00;1559;Pleigne;6719;JU;100%;2588841;1250761;fr;01.07.2008
Lucelle;2807;01;1560;La Baroche;6810;JU;50%;2585193;1252368;fr;01.07.2008
Lucelle;2807;01;1560;Pleigne;6719;JU;50%;2585264;1251866;fr;01.07.2008
Movelier;2812;00;1561;Movelier;6718;JU;100%;2590743;1250993;fr;01.07.2008
Ederswiler;2813;00;1562;Ederswiler;6713;JU;81.62%;2592111;1252776;de;01.07.2008
Ederswiler;2813;00;1562;Pleigne;6719;JU;12.97%;2590630;1253662;de;01.07.2008
Ederswiler;2813;00;1562;Movelier;6718;JU;5.41%;2592528;1251571;de;01.07.2008
Roggenburg;2814;00;1563;Roggenburg;2790;BL;94.87%;2592623;1253657;de;01.07.2008
Roggenburg;2814;00;1563;Ederswiler;6713;JU;2.24%;2593856;1251918;de;01.07.2008
Roggenburg;2814;00;1563;Kleinlützel;2619;SO;1.92%;2595631;1252318;de;01.07.2008
Roggenburg;2814;00;1563;Pleigne;6719;JU;0.96%;2591575;1254321;de;01.07.2008
Courroux;2822;00;1564;Courroux;6709;JU;100%;2595316;1245428;fr;01.07.2008
Courcelon;2823;00;1565;Courroux;6709;JU;100%;2596462;1245737;fr;01.07.2008
Vicques;2824;00;1566;Val Terbi;6730;JU;99.91%;2598026;1244334;fr;01.07.2008
Vicques;2824;00;1566;Courchapoix;6706;JU;0.09%;2600443;1245212;fr;01.07.2008
Courchapoix;2825;00;1567;Courchapoix;6706;JU;100%;2601191;1244276;fr;01.07.2008
Corban;2826;00;1568;Val Terbi;6730;JU;100%;2602789;1244030;fr;01.07.2008
Mervelier;2827;00;1570;Mervelier;6715;JU;100%;2604646;1243650;fr;01.07.2008
Schelten;2827;02;5756;Schelten;708;BE;75.76%;2608539;1242411;de;01.07.2008
Schelten;2827;02;5756;Beinwil (SO);2612;SO;24.24%;2609368;1243661;de;01.07.2008
Montsevelier;2828;00;1571;Val Terbi;6730;JU;100%;2605121;1245550;fr;01.07.2008
Vermes;2829;00;1572;Val Terbi;6730;JU;100%;2602936;1241598;fr;01.07.2008
Courrendlin;2830;00;1549;Courrendlin;6708;JU;98.71%;2595041;1243074;fr;01.07.2008
Courrendlin;2830;00;1549;Courroux;6709;JU;1.29%;2596709;1243598;fr;01.07.2008
Vellerat;2830;02;5757;Courrendlin;6708;JU;100%;2594814;1240984;fr;01.07.2008
Rebeuvelier;2832;00;1547;Courrendlin;6708;JU;98.99%;2598287;1241619;fr;01.07.2008
Rebeuvelier;2832;00;1547;Val Terbi;6730;JU;1.01%;2599572;1242199;fr;01.07.2008
Rossemaison;2842;00;1573;Rossemaison;6721;JU;100%;2592933;1243926;fr;01.07.2008
Châtillon JU;2843;00;1574;Châtillon (JU);6704;JU;100%;2592856;1241954;fr;01.07.2008
Courtételle;2852;00;1575;Courtételle;6710;JU;99.79%;2590863;1243332;fr;01.07.2008
Courtételle;2852;00;1575;Delémont;6711;JU;0.21%;2591671;1244864;fr;01.07.2008
Courfaivre;2853;00;1576;Haute-Sorne;6729;JU;99.83%;2588229;1242611;fr;01.07.2008
Courfaivre;2853;00;1576;Courtételle;6710;JU;0.17%;2589658;1242298;fr;01.07.2008
Bassecourt;2854;00;1577;Haute-Sorne;6729;JU;100%;2585202;1243001;fr;01.07.2008
Glovelier;2855;00;1578;Haute-Sorne;6729;JU;100%;2582211;1242665;fr;01.07.2008
Boécourt;2856;00;1579;Boécourt;6702;JU;100%;2583039;1244393;fr;01.07.2008
Montavon;2857;00;1580;Boécourt;6702;JU;100%;2584378;1246551;fr;01.07.2008
Undervelier;2863;00;1582;Haute-Sorne;6729;JU;100%;2583786;1239139;fr;01.07.2008
Soulce;2864;00;1583;Haute-Sorne;6729;JU;100%;2587240;1239238;fr;01.07.2008
Saulcy;2873;00;1584;Saulcy;6722;JU;98.35%;2578647;1239126;fr;01.07.2008
Saulcy;2873;00;1584;Saint-Brais;6758;JU;1.65%;2576253;1238550;fr;01.07.2008
St-Ursanne;2882;00;1590;Clos du Doubs;6808;JU;98.97%;2578672;1246031;fr;01.07.2008
St-Ursanne;2882;00;1590;Saint-Brais;6758;JU;1.03%;2575119;1241111;fr;01.07.2008
Montmelon;2883;00;1592;Clos du Doubs;6808;JU;90.96%;2579904;1244610;fr;01.07.2008
Montmelon;2883;00;1592;Saint-Brais;6758;JU;5.42%;2577497;1242617;fr;01.07.2008
Montmelon;2883;00;1592;Boécourt;6702;JU;3.61%;2581495;1244408;fr;01.07.2008
Montenol;2884;00;1593;Clos du Doubs;6808;JU;100%;2578073;1244511;fr;01.07.2008
Epauvillers;2885;00;1594;Clos du Doubs;6808;JU;100%;2575538;1242782;fr;01.07.2008
Epiquerez;2886;00;1595;Clos du Doubs;6808;JU;96.12%;2571796;1241929;fr;01.07.2008
Epiquerez;2886;00;1595;Saint-Brais;6758;JU;3.88%;2574766;1240994;fr;01.07.2008
Soubey;2887;00;1597;Soubey;6759;JU;100%;2570327;1239857;fr;01.07.2008
Seleute;2888;00;1598;Clos du Doubs;6808;JU;100%;2575411;1246260;fr;01.07.2008
Ocourt;2889;00;1600;Clos du Doubs;6808;JU;100%;2572357;1244764;fr;01.07.2008
Porrentruy;2900;00;1602;Porrentruy;6800;JU;99.91%;2572489;1251729;fr;01.07.2008
Porrentruy;2900;00;1602;Courtedoux;6785;JU;0.06%;2570685;1250965;fr;01.07.2008
Porrentruy;2900;00;1602;Fontenais;6790;JU;0.03%;2572669.271;1250729.527;fr;01.07.2008
Fontenais;2902;00;1607;Fontenais;6790;JU;100%;2573013;1250336;fr;01.07.2008
Villars-sur-Fontenais;2903;00;1608;Fontenais;6790;JU;100%;2572891;1248531;fr;01.07.2008
Bressaucourt;2904;00;1609;Fontenais;6790;JU;100%;2569660;1248662;fr;01.07.2008
Courtedoux;2905;00;1610;Courtedoux;6785;JU;100%;2569964;1250856;fr;01.07.2008
Chevenez;2906;00;1611;Haute-Ajoie;6809;JU;100%;2566870;1249202;fr;01.07.2008
Rocourt;2907;00;1612;Haute-Ajoie;6809;JU;100%;2563669;1248963;fr;01.07.2008
Grandfontaine;2908;00;1613;Grandfontaine;6792;JU;100%;2562162;1249243;fr;01.07.2008
Réclère;2912;02;5978;Haute-Ajoie;6809;JU;100%;2561070;1247340;fr;01.07.2008
Roche-d'Or;2912;03;1615;Haute-Ajoie;6809;JU;100%;2563669;1246228;fr;01.07.2008
Damvant;2914;00;1616;Haute-Ajoie;6809;JU;100%;2559058;1246935;fr;01.07.2008
Bure;2915;00;1617;Bure;6778;JU;96.99%;2567443;1254635;fr;01.07.2008
Bure;2915;00;1617;Basse-Allaine;6807;JU;3.01%;2568219;1256503;fr;01.07.2008
Fahy;2916;00;1618;Fahy;6789;JU;100%;2563076;1252093;fr;01.07.2008
Courchavon;2922;00;1620;Courchavon;6783;JU;100%;2570883;1254391;fr;01.07.2008
Courtemaîche;2923;00;1621;Basse-Allaine;6807;JU;100%;2570520;1256421;fr;01.07.2008
Montignez;2924;00;1622;Basse-Allaine;6807;JU;100%;2571372;1259576;fr;01.07.2008
Buix;2925;00;1624;Basse-Allaine;6807;JU;100%;2569214;1258986;fr;01.07.2008
Boncourt;2926;00;1625;Boncourt;6774;JU;100%;2567901;1260534;fr;01.07.2008
Coeuve;2932;00;1626;Coeuve;6781;JU;100%;2574387;1255690;fr;01.07.2008
Damphreux;2933;02;5890;Damphreux-Lugnez;6811;JU;100%;2574764;1258490;fr;01.07.2008
Lugnez;2933;03;6054;Damphreux-Lugnez;6811;JU;100%;2574378;1259240;fr;01.07.2008
Beurnevésin;2935;00;1629;Basse-Vendline;6812;JU;100%;2577327;1260238;fr;01.07.2008
Alle;2942;00;1630;Alle;6771;JU;100%;2576637;1252807;fr;01.07.2008
Vendlincourt;2943;00;1631;Vendlincourt;6806;JU;100%;2578257;1255725;fr;01.07.2008
Bonfol;2944;00;1632;Basse-Vendline;6812;JU;100%;2578363;1258588;fr;01.07.2008
Miécourt;2946;00;1633;La Baroche;6810;JU;100%;2580127;1253060;fr;01.07.2008
Charmoille;2947;00;1634;La Baroche;6810;JU;100%;2582536;1252482;fr;01.07.2008
Courgenay;2950;00;1601;Courgenay;6784;JU;100%;2576169;1250497;fr;01.07.2008
Courtemautruy;2950;02;7446;Courgenay;6784;JU;100%;2577352;1249338;fr;01.07.2008
Cornol;2952;00;1635;Cornol;6782;JU;100%;2579190;1250747;fr;01.07.2008
Fregiécourt;2953;02;5891;La Baroche;6810;JU;100%;2581807;1251295;fr;01.07.2008
Pleujouse;2953;03;6055;La Baroche;6810;JU;100%;2582792;1251229;fr;01.07.2008
Asuel;2954;00;1638;La Baroche;6810;JU;100%;2582375;1249839;fr;01.07.2008
Bern;3004;00;1713;Bern;351;BE;100%;2600552;1202327;de;01.07.2008
Bern;3005;00;1714;Bern;351;BE;100%;2600827;1198852;de;01.07.2008
Bern;3006;00;1715;Bern;351;BE;100%;2602265;1199134;de;01.07.2008
Bern;3007;00;1716;Bern;351;BE;99.52%;2599460;1198721;de;01.07.2008
Bern;3007;00;1716;Köniz;355;BE;0.48%;2599695;1198046;de;01.07.2008
Bern;3008;00;1717;Bern;351;BE;100%;2598418;1199032;de;01.07.2008
Bern;3010;00;1718;Bern;351;BE;100%;2598894;1199620;de;01.07.2008
Bern;3011;00;1719;Bern;351;BE;100%;2600750;1199674;de;01.07.2008
Bern;3012;00;1720;Bern;351;BE;100%;2599471;1200386;de;01.07.2008
Bern;3013;00;1721;Bern;351;BE;100%;2600914;1200443;de;01.07.2008
Bern;3014;00;1722;Bern;351;BE;100%;2601161;1201210;de;01.07.2008
Bern;3015;00;1723;Bern;351;BE;100%;2603171;1198680;de;01.07.2008
Bern;3018;00;1724;Bern;351;BE;100%;2596346;1198847;de;01.07.2008
Bern;3019;00;1725;Bern;351;BE;100%;2593303;1198261;de;01.07.2008
Bern;3020;00;1726;Bern;351;BE;84.92%;2592274;1198883;de;01.07.2008
Bern;3020;00;1726;Frauenkappelen;663;BE;15.08%;2591980;1199545;de;01.07.2008
Bern;3027;00;1727;Bern;351;BE;100%;2596098;1199728;de;01.07.2008
Hinterkappelen;3032;00;1742;Wohlen bei Bern;360;BE;88.60%;2595477;1201880;de;01.07.2008
Hinterkappelen;3032;00;1742;Bern;351;BE;11.40%;2595859;1201219;de;01.07.2008
Wohlen b. Bern;3033;00;1743;Wohlen bei Bern;360;BE;97.27%;2593842;1202557;de;01.07.2008
Wohlen b. Bern;3033;00;1743;Frauenkappelen;663;BE;2.73%;2593793;1201375;de;01.07.2008
Murzelen;3034;00;1744;Wohlen bei Bern;360;BE;100%;2590649;1203091;de;01.07.2008
Frieswil;3035;00;1745;Seedorf (BE);312;BE;74.71%;2588369;1204928;de;01.07.2008
Frieswil;3035;00;1745;Wohlen bei Bern;360;BE;25.29%;2589336;1204273;de;01.07.2008
Detligen;3036;00;1746;Radelfingen;309;BE;93.06%;2587132;1205302;de;01.07.2008
Detligen;3036;00;1746;Wohlen bei Bern;360;BE;6.94%;2588466;1202647;de;01.07.2008
Herrenschwanden;3037;00;1747;Kirchlindach;354;BE;94.09%;2598365;1202664;de;01.07.2008
Herrenschwanden;3037;00;1747;Bern;351;BE;4.20%;2599281;1202371;de;01.07.2008
Herrenschwanden;3037;00;1747;Wohlen bei Bern;360;BE;1.71%;2597716.532;1202130.933;de;01.07.2008
Kirchlindach;3038;00;1748;Kirchlindach;354;BE;100%;2598378;1205510;de;01.07.2008
Ortschwaben;3042;00;1750;Meikirch;307;BE;95.47%;2596971;1204879;de;01.07.2008
Ortschwaben;3042;00;1750;Kirchlindach;354;BE;2.13%;2597741;1204104;de;01.07.2008
Ortschwaben;3042;00;1750;Wohlen bei Bern;360;BE;2.40%;2596151;1204947;de;01.07.2008
Uettligen;3043;00;1751;Wohlen bei Bern;360;BE;100%;2595732;1203984;de;01.07.2008
Innerberg;3044;02;5633;Wohlen bei Bern;360;BE;100%;2590168;1204887;de;01.07.2008
Meikirch;3045;00;1753;Meikirch;307;BE;94.83%;2594508;1206491;de;01.07.2008
Meikirch;3045;00;1753;Wohlen bei Bern;360;BE;5.18%;2595633;1205427;de;01.07.2008
Wahlendorf;3046;00;1754;Meikirch;307;BE;100%;2592292;1206109;de;01.07.2008
Bremgarten b. Bern;3047;00;1755;Bremgarten bei Bern;353;BE;100%;2599716;1202818;de;01.07.2008
Worblaufen;3048;00;1756;Ittigen;362;BE;81.73%;2601835;1203208;de;01.07.2008
Worblaufen;3048;00;1756;Bern;351;BE;18.27%;2602279;1202336;de;01.07.2008
Säriswil;3049;00;1752;Wohlen bei Bern;360;BE;100%;2592289;1204661;de;01.07.2008
Zollikofen;3052;00;1757;Zollikofen;361;BE;94.09%;2600999;1205081;de;01.07.2008
Zollikofen;3052;00;1757;Münchenbuchsee;546;BE;5.91%;2601837;1205847;de;01.07.2008
Münchenbuchsee;3053;00;1761;Münchenbuchsee;546;BE;98.85%;2600681;1207766;de;01.07.2008
Münchenbuchsee;3053;00;1761;Schüpfen;311;BE;0.88%;2598883;1209080;de;01.07.2008
Münchenbuchsee;3053;00;1761;Moosseedorf;544;BE;0.27%;2601809;1207220;de;01.07.2008
Deisswil b. Münchenbuchsee;3053;02;5908;Deisswil bei Münchenbuchsee;535;BE;100%;2601360;1209330;de;01.07.2008
Diemerswil;3053;03;5909;Münchenbuchsee;546;BE;100%;2599041;1207487;de;01.07.2008
Wiggiswil;3053;04;5913;Wiggiswil;553;BE;100%;2602298;1208818;de;01.07.2008
Lätti;3053;05;8347;Rapperswil (BE);310;BE;100%;2599525;1209768;de;01.07.2008
Schüpfen;3054;00;1762;Schüpfen;311;BE;100%;2595229;1210042;de;01.07.2008
Ittigen;3063;00;1763;Ittigen;362;BE;99.01%;2603314;1202869;de;01.07.2008
Ittigen;3063;00;1763;Ostermundigen;363;BE;0.64%;2603635;1202037;de;01.07.2008
Ittigen;3063;00;1763;Bern;351;BE;0.35%;2602526;1201949;de;01.07.2008
Bolligen;3065;00;1764;Bolligen;352;BE;98.92%;2604544;1202800;de;01.07.2008
Bolligen;3065;00;1764;Ostermundigen;363;BE;1.09%;2604129.752;1201728.279;de;01.07.2008
Stettlen;3066;00;1767;Stettlen;358;BE;85.07%;2606671;1200919;de;01.07.2008
Stettlen;3066;00;1767;Bolligen;352;BE;12.10%;2607189;1201904;de;01.07.2008
Stettlen;3066;00;1767;Ostermundigen;363;BE;2.76%;2605563;1200904;de;01.07.2008
Stettlen;3066;00;1767;Vechigen;359;BE;0.08%;2608410;1202606;de;01.07.2008
Boll;3067;00;1768;Vechigen;359;BE;99.76%;2608203;1200483;de;01.07.2008
Boll;3067;00;1768;Stettlen;358;BE;0.24%;2607270;1201227;de;01.07.2008
Utzigen;3068;00;1769;Vechigen;359;BE;99.26%;2609884;1201044;de;01.07.2008
Utzigen;3068;00;1769;Worb;627;BE;0.41%;2611652;1199866;de;01.07.2008
Utzigen;3068;00;1769;Walkringen;626;BE;0.33%;2612828;1200949;de;01.07.2008
Ostermundigen;3072;00;1770;Ostermundigen;363;BE;98.70%;2603919;1200507;de;01.07.2008
Ostermundigen;3072;00;1770;Bern;351;BE;1.31%;2603381;1201684;de;01.07.2008
Gümligen;3073;00;1774;Muri bei Bern;356;BE;99.06%;2605078;1198090;de;01.07.2008
Gümligen;3073;00;1774;Bern;351;BE;0.58%;2604107;1198676;de;01.07.2008
Gümligen;3073;00;1774;Ostermundigen;363;BE;0.31%;2605391;1199898;de;01.07.2008
Gümligen;3073;00;1774;Allmendingen;630;BE;0.05%;2605847;1197360;de;01.07.2008
Muri b. Bern;3074;00;1775;Muri bei Bern;356;BE;100%;2603687;1197575;de;01.07.2008
Rüfenacht BE;3075;00;1776;Worb;627;BE;100%;2607361;1197697;de;01.07.2008
Vielbringen b. Worb;3075;02;9267;Worb;627;BE;100%;2608288;1196145;de;01.05.2012
Worb;3076;00;1777;Worb;627;BE;95.62%;2609834;1197586;de;01.07.2008
Worb;3076;00;1777;Vechigen;359;BE;3.55%;2607566;1198919;de;01.07.2008
Worb;3076;00;1777;Muri bei Bern;356;BE;0.70%;2606018;1199084;de;01.07.2008
Worb;3076;00;1777;Stettlen;358;BE;0.12%;2606384;1199168;de;01.07.2008
Enggistein;3077;00;1781;Worb;627;BE;100%;2612097;1197938;de;01.07.2008
Richigen;3078;00;1782;Worb;627;BE;100%;2610938;1196344;de;01.07.2008
Schlosswil;3082;00;1783;Grosshöchstetten;608;BE;75.56%;2613447;1195520;de;01.07.2008
Schlosswil;3082;00;1783;Worb;627;BE;24.44%;2613096;1196350;de;01.07.2008
Trimstein;3083;00;1784;Münsingen;616;BE;100%;2610692;1194749;de;01.07.2008
Wabern;3084;00;1785;Köniz;355;BE;96.82%;2601242;1197513;de;01.07.2008
Wabern;3084;00;1785;Bern;351;BE;3.18%;2600678;1197861;de;01.07.2008
Zimmerwald;3086;00;1788;Wald (BE);888;BE;91.93%;2602648;1192102;de;01.07.2008
Zimmerwald;3086;00;1788;Belp;861;BE;5.98%;2603469;1192339;de;01.07.2008
Zimmerwald;3086;00;1788;Niedermuhlern;877;BE;1.11%;2602301;1190854;de;01.07.2008
Zimmerwald;3086;00;1788;Oberbalm;357;BE;0.97%;2600100;1191922;de;01.07.2008
Englisberg;3086;02;5927;Wald (BE);888;BE;100%;2601957;1193980;de;01.07.2008
Niedermuhlern;3087;00;1790;Niedermuhlern;877;BE;83.37%;2601782;1189676;de;01.07.2008
Niedermuhlern;3087;00;1790;Wald (BE);888;BE;13.79%;2600523;1190569;de;01.07.2008
Niedermuhlern;3087;00;1790;Rüeggisberg;880;BE;2.84%;2599680;1188755;de;01.07.2008
Rüeggisberg;3088;00;1792;Rüeggisberg;880;BE;100%;2600006;1185718;de;01.07.2008
Oberbütschel;3088;02;1786;Rüeggisberg;880;BE;100%;2601311;1187638;de;01.07.2008
Hinterfultigen;3089;00;1793;Rüeggisberg;880;BE;100%;2597650;1187476;de;01.07.2008
Spiegel b. Bern;3095;00;1728;Köniz;355;BE;100%;2599663;1197179;de;01.07.2008
Oberbalm;3096;00;1794;Oberbalm;357;BE;99.71%;2597468;1190572;de;01.07.2008
Oberbalm;3096;00;1794;Wald (BE);888;BE;0.29%;2599832;1191242;de;01.07.2008
Liebefeld;3097;00;1795;Köniz;355;BE;99.57%;2598406;1197692;de;01.07.2008
Liebefeld;3097;00;1795;Bern;351;BE;0.44%;2598888;1198123;de;01.07.2008
Köniz;3098;00;1796;Köniz;355;BE;100%;2598168;1196848;de;01.07.2008
Schliern b. Köniz;3098;01;1797;Köniz;355;BE;100%;2598195;1195488;de;01.07.2008
