Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Mönthal;5237;00;3005;Mönthal;4106;AG;92.37%;2653097;1263270;de;01.07.2008
Mönthal;5237;00;3005;Bözberg;4124;AG;7.63%;2653676;1262103;de;01.07.2008
Birr;5242;01;3007;Birr;4092;AG;100%;2657634;1254046;de;01.07.2008
Lupfig;5242;02;3008;Lupfig;4104;AG;100%;2657458;1254715;de;01.07.2008
Mülligen;5243;00;3010;Mülligen;4107;AG;100%;2660363;1256547;de;01.07.2008
Birrhard;5244;00;3011;Birrhard;4093;AG;100%;2660801;1254070;de;01.07.2008
Habsburg;5245;00;2985;Habsburg;4099;AG;100%;2656416;1257140;de;01.07.2008
Scherz;5246;00;2986;Lupfig;4104;AG;100%;2656282;1255458;de;01.07.2008
Gansingen;5272;00;2632;Gansingen;4164;AG;100%;2652444;1265922;de;01.07.2008
Oberhofen AG;5273;00;2630;Mettauertal;4184;AG;100%;2652162;1267275;de;01.07.2008
Mettau;5274;00;2629;Mettauertal;4184;AG;100%;2651845;1268446;de;01.07.2008
Etzgen;5275;00;2627;Mettauertal;4184;AG;100%;2650597;1269156;de;01.07.2008
Wil AG;5276;00;2633;Mettauertal;4184;AG;100%;2653714;1268046;de;01.07.2008
Hottwil;5277;00;2634;Mettauertal;4184;AG;100%;2654452;1266615;de;01.07.2008
Turgi;5300;00;3026;Baden;4021;AG;100%;2661480;1260312;de;01.07.2008
Siggenthal Station;5301;00;3027;Untersiggenthal;4044;AG;100%;2660508;1263327;de;01.07.2008
Würenlingen;5303;00;3028;Würenlingen;4047;AG;100%;2661420;1264793;de;01.07.2008
Endingen;5304;00;3029;Endingen;4305;AG;100%;2664159;1265522;de;01.07.2008
Unterendingen;5305;00;3031;Endingen;4305;AG;100%;2664167;1266571;de;01.07.2008
Tegerfelden;5306;00;3032;Tegerfelden;4320;AG;100%;2663837;1268172;de;01.07.2008
Döttingen;5312;00;3033;Döttingen;4304;AG;100%;2661780;1269074;de;01.07.2008
Klingnau;5313;00;3035;Klingnau;4309;AG;100%;2661184;1270466;de;01.07.2008
Kleindöttingen;5314;00;3036;Böttstein;4303;AG;100%;2660685;1269125;de;01.07.2008
Böttstein;5315;00;3037;Böttstein;4303;AG;100%;2658962;1267437;de;01.07.2008
